title,imdb_rating,Processed Title,Success_x,n_unique_words_char_1,n_unique_words_char_2,n_unique_words_char_3,n_unique_words_char_4,n_unique_words_char_5,FK_read_level_char_1,FK_read_level_char_2,FK_read_level_char_3,FK_read_level_char_4,FK_read_level_char_5,n_stop_words_char_1,n_stop_words_char_2,n_stop_words_char_3,n_stop_words_char_4,n_stop_words_char_5,overall_polarity_char_1,overall_polarity_char_2,overall_polarity_char_3,overall_polarity_char_4,overall_polarity_char_5,tot_sents,tot_pass_sents,passive_ratio_x,num_pass_sents_char_1,num_pass_sents_char_2,num_pass_sents_char_3,num_pass_sents_char_4,num_pass_sents_char_5,num_sents_char_1,num_sents_char_2,num_sents_char_3,num_sents_char_4,num_sents_char_5,polarity_of_mentions_char_1,polarity_of_mentions_char_2,polarity_of_mentions_char_3,polarity_of_mentions_char_4,polarity_of_mentions_char_5,neg_polarity_of_mentions_char_1,neg_polarity_of_mentions_char_2,neg_polarity_of_mentions_char_3,neg_polarity_of_mentions_char_4,neg_polarity_of_mentions_char_5,pos_polarity_of_mentions_char_1,pos_polarity_of_mentions_char_2,pos_polarity_of_mentions_char_3,pos_polarity_of_mentions_char_4,pos_polarity_of_mentions_char_5,compound_polarity_of_mentions_char_1,compound_polarity_of_mentions_char_2,compound_polarity_of_mentions_char_3,compound_polarity_of_mentions_char_4,compound_polarity_of_mentions_char_5,tot_coref_sents,pct_coref_sents_x,n_coref_sents_char_1,n_coref_sents_char_2,n_coref_sents_char_3,n_coref_sents_char_4,n_coref_sents_char_5,fillers_per_sent_char_1,fillers_per_sent_char_2,fillers_per_sent_char_3,fillers_per_sent_char_4,fillers_per_sent_char_5,feels_per_sent_char_1,feels_per_sent_char_2,feels_per_sent_char_3,feels_per_sent_char_4,feels_per_sent_char_5,hw_per_sent_char_1,hw_per_sent_char_2,hw_per_sent_char_3,hw_per_sent_char_4,hw_per_sent_char_5,tot_feel_sents,tot_fill_sents,tot_hw_sents,feel_ratio,fill_ratio,hw_ratio,main_char_rel_diag_length,stdvs_unique_words_above_mean,FK_read_level_mean_char,stdvs_n_stop_words_above_mean,stdvs_n_curse_words_above_mean,stdvs_n_mentions_others_above_mean,passive_ratio_y,pct_coref_sents_y,tot_unique_per_sent,tot_stop_per_sent,std_of_overall_polarity,wav_polarity,avg_FK,sign_check_char_mention_polairty,std_of_char_mention_polarity,avg_sim_score,Success_y
I Still Know What You Did Last Summer,4.6,I-Still-Know-What-You-Did-Last-Summer,1,429,424,358,357,202,1,1,2,1,1,117,110,93,104,71,-0.9963,0.9989,-0.9917,0.9936,0.9325,852,21,0.02464788732394366,7,3,4,5,2,277,200,136,156,83,"{'neg': 0.163, 'neu': 0.704, 'pos': 0.132, 'compound': -0.9998}","{'neg': 0.094, 'neu': 0.733, 'pos': 0.173, 'compound': 0.9999}","{'neg': 0.119, 'neu': 0.798, 'pos': 0.083, 'compound': -0.998}","{'neg': 0.083, 'neu': 0.782, 'pos': 0.135, 'compound': 0.9996}","{'neg': 0.094, 'neu': 0.787, 'pos': 0.119, 'compound': 0.983}",0.163,0.094,0.119,0.083,0.094,0.132,0.173,0.083,0.135,0.119,-0.9998,0.9999,-0.998,0.9996,0.983,100,0.11737089201877934,45,25,5,21,4,61,41,19,15,13,10,7,4,1,2,47,44,34,26,17,24,149,168,0.028169014084507043,0.17488262910798122,0.19718309859154928,30.233674775928296,-0.7694963959133196,1.2,-0.5689061277544362,-0.5508188173821177,-0.07297578123177566,0.02464788732394366,0.11737089201877934,2.0774647887323945,0.5809859154929577,0.9648924499652798,0.02503849765258213,1.2,0,0.9764185979384048,0.25538135738297163,1
The Book of Eli,6.9,"Book-of-Eli,-The",1,658,309,604,251,209,1,0,2,1,1,153,115,154,87,84,0.9997,0.9972,0.9981,-0.9972,0.9803,1217,58,0.047658175842235015,18,3,24,6,7,475,240,332,89,81,"{'neg': 0.092, 'neu': 0.752, 'pos': 0.156, 'compound': 0.9999}","{'neg': 0.086, 'neu': 0.765, 'pos': 0.149, 'compound': 0.9972}","{'neg': 0.096, 'neu': 0.771, 'pos': 0.133, 'compound': 0.9999}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.088, 'neu': 0.77, 'pos': 0.142, 'compound': 0.9803}",0.092,0.086,0.096,0.0,0.08800000000000001,0.156,0.149,0.133,0.0,0.142,0.9999,0.9972,0.9999,0.0,0.9803,38,0.03122432210353328,6,11,18,0,3,7,17,4,5,5,8,10,15,1,5,112,62,99,32,39,39,38,344,0.03204601479046836,0.03122432210353328,0.2826622843056697,39.10215695739438,-0.3455535112877319,1.0,0.7489790754860137,-0.3695718091933937,-0.7963185415546794,0.04765817584223502,0.03122432210353328,1.6688578471651605,0.4872637633525062,0.7964410270698014,0.8514447000821693,1.0,0,0.3977971573553537,0.3023486419045849,1
Blade,7.1,Blade,1,488,372,660,436,148,2,3,3,4,3,127,110,144,115,44,0.8179,-0.9818,0.9989,-0.9306,0.9828,726,36,0.049586776859504134,8,9,13,6,0,210,150,230,111,25,"{'neg': 0.076, 'neu': 0.84, 'pos': 0.084, 'compound': 0.9811}","{'neg': 0.107, 'neu': 0.803, 'pos': 0.09, 'compound': -0.9948}","{'neg': 0.069, 'neu': 0.801, 'pos': 0.13, 'compound': 0.9999}","{'neg': 0.086, 'neu': 0.842, 'pos': 0.072, 'compound': -0.9932}","{'neg': 0.087, 'neu': 0.728, 'pos': 0.186, 'compound': 0.9828}",0.076,0.107,0.069,0.086,0.087,0.084,0.09,0.13,0.07200000000000001,0.18600000000000005,0.9811,-0.9948,0.9999,-0.9932,0.9828,75,0.10330578512396696,14,13,24,17,7,0,0,0,0,1,4,4,8,2,3,75,47,71,41,5,21,1,239,0.028925619834710745,0.0013774104683195593,0.32920110192837465,24.35452923553371,-0.2269794477717629,3.0,0.03624524108046428,-0.4828511893113462,-0.4068262859961928,0.04958677685950413,0.10330578512396696,2.8980716253443526,0.743801652892562,0.9279202866625992,0.2417484848484848,3.0,0,0.9709674775192008,0.22319114257536649,1
Nine,5.8,Nine,0,583,257,203,156,294,2,3,1,2,2,141,82,76,59,93,0.9991,0.9962,0.9767,-0.9527,0.9986,759,18,0.023715415019762844,7,5,0,2,4,383,119,84,54,119,"{'neg': 0.109, 'neu': 0.725, 'pos': 0.166, 'compound': 1.0}","{'neg': 0.033, 'neu': 0.802, 'pos': 0.165, 'compound': 0.9996}","{'neg': 0.135, 'neu': 0.697, 'pos': 0.168, 'compound': 0.9932}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.078, 'neu': 0.708, 'pos': 0.214, 'compound': 0.9996}",0.109,0.033,0.135,0.0,0.078,0.166,0.165,0.168,0.0,0.214,1.0,0.9996,0.9932,0.0,0.9996,71,0.09354413702239787,32,18,6,0,15,43,12,3,3,6,9,4,3,3,2,106,15,12,9,28,21,67,170,0.02766798418972332,0.08827404479578392,0.22397891963109354,53.18146784276784,-1.2194281163780238,2.0,-1.1606096883930055,-0.6414423214764797,-0.38297982137016295,0.023715415019762844,0.09354413702239787,1.9670619235836624,0.5942028985507246,0.7781842080124731,0.8572246376811594,2.0,0,0.3992480452049828,0.20476617056520874,0
The Tourist,6.0,"Tourist,-The",1,429,363,491,173,201,2,2,4,2,3,119,108,115,69,70,-0.9734,0.9954,0.9962,0.9905,-0.7269,669,19,0.02840059790732436,11,3,3,0,2,205,191,172,57,44,"{'neg': 0.129, 'neu': 0.753, 'pos': 0.118, 'compound': -0.9922}","{'neg': 0.098, 'neu': 0.758, 'pos': 0.144, 'compound': 0.9992}","{'neg': 0.083, 'neu': 0.787, 'pos': 0.13, 'compound': 0.9996}","{'neg': 0.056, 'neu': 0.767, 'pos': 0.176, 'compound': 0.9905}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.129,0.098,0.083,0.056,0.0,0.118,0.14400000000000002,0.13,0.17600000000000002,0.0,-0.9922,0.9992,0.9996,0.9905,0.0,40,0.05979073243647234,6,17,15,2,0,26,15,15,1,6,11,7,3,3,1,73,35,51,14,20,25,63,193,0.03736920777279522,0.09417040358744394,0.2884902840059791,29.612466494025718,-0.95304254902708,2.6,-0.7571754425030719,-0.5961305694292987,-0.7486256123026198,0.02840059790732436,0.05979073243647234,2.476831091180866,0.71898355754858,0.9068202437087518,0.27861838565022423,2.6,0,0.795672069134012,0.3059178074963952,1
Rachel Getting Married,6.7,Rachel-Getting-Married,1,836,597,377,260,262,3,3,2,2,3,149,143,108,94,92,0.9998,-0.9868,-0.8340000000000001,0.9989,0.999,1131,28,0.02475685234305924,11,8,4,4,1,479,275,187,114,76,"{'neg': 0.096, 'neu': 0.741, 'pos': 0.163, 'compound': 0.9999}","{'neg': 0.146, 'neu': 0.715, 'pos': 0.138, 'compound': -0.9967}","{'neg': 0.098, 'neu': 0.79, 'pos': 0.112, 'compound': -0.9751}","{'neg': 0.058, 'neu': 0.741, 'pos': 0.201, 'compound': 0.9999}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.096,0.146,0.098,0.058,0.0,0.163,0.138,0.112,0.201,0.0,0.9999,-0.9967,-0.9751,0.9999,0.0,57,0.050397877984084884,10,14,25,8,0,29,14,18,11,7,10,14,3,3,5,132,60,51,29,20,35,79,292,0.03094606542882405,0.06984969053934571,0.2581786030061892,43.07901689216237,0.14336146293564708,2.6,0.6548444181116958,-0.2789483050990316,-0.3591333567441332,0.02475685234305924,0.050397877984084884,2.061892130857648,0.5181255526083113,0.93677251966526,0.21341715296198047,2.6,0,0.8881074394463768,0.3208816898159748,1
Crash,7.8,Crash,0,321,297,370,251,116,2,3,5,4,3,113,89,93,80,48,-0.9123,0.9602,-0.9752,0.389,0.8181,413,22,0.05326876513317192,5,6,8,2,1,144,96,84,67,22,"{'neg': 0.084, 'neu': 0.842, 'pos': 0.074, 'compound': -0.9855}","{'neg': 0.091, 'neu': 0.789, 'pos': 0.12, 'compound': 0.997}","{'neg': 0.117, 'neu': 0.78, 'pos': 0.103, 'compound': -0.9932}","{'neg': 0.075, 'neu': 0.863, 'pos': 0.062, 'compound': 0.5124}","{'neg': 0.057, 'neu': 0.827, 'pos': 0.115, 'compound': 0.8181}",0.084,0.091,0.117,0.075,0.057,0.07400000000000001,0.12,0.103,0.062,0.115,-0.9855,0.997,-0.9932,0.5124,0.8181,35,0.0847457627118644,9,9,12,4,1,11,11,2,0,1,12,4,2,5,0,33,30,21,27,7,23,25,118,0.05569007263922518,0.060532687651331726,0.2857142857142857,27.20253164556962,-1.4435818254904036,3.4,-1.537148317890277,-0.5281629413585271,-0.8360626492647291,0.05326876513317192,0.0847457627118644,3.2808716707021786,1.0242130750605327,0.8378832104774507,-0.18655593220338976,3.4,0,0.8785413561125054,0.4689373202818602,0
Star Trek: Nemesis,6.4,Star-Trek-Nemesis,1,805,652,513,294,242,4,3,6,5,5,153,147,109,86,68,0.9996,0.9986,0.998,0.7844,0.8878,988,54,0.05465587044534413,19,12,10,7,6,413,296,154,70,55,"{'neg': 0.086, 'neu': 0.779, 'pos': 0.135, 'compound': 1.0}","{'neg': 0.092, 'neu': 0.772, 'pos': 0.137, 'compound': 0.9996}","{'neg': 0.069, 'neu': 0.798, 'pos': 0.133, 'compound': 0.9998}","{'neg': 0.075, 'neu': 0.839, 'pos': 0.086, 'compound': 0.7844}","{'neg': 0.057, 'neu': 0.855, 'pos': 0.088, 'compound': 0.8878}",0.086,0.092,0.069,0.075,0.057,0.135,0.13699999999999998,0.133,0.086,0.08800000000000001,1.0,0.9996,0.9998,0.7844,0.8878,51,0.05161943319838057,30,6,8,6,1,69,40,16,5,5,21,10,13,3,1,98,64,48,38,26,48,135,274,0.048582995951417005,0.13663967611336034,0.2773279352226721,40.10036719706242,0.4259900526860389,4.6,0.3455448295960801,-0.7094099495472512,-0.3670821782861431,0.05465587044534413,0.05161943319838057,2.5364372469635628,0.569838056680162,0.08612387357753946,0.9775803643724696,4.6,1,0.08660610602030322,0.23716960652481026,1
Witness,7.4,Witness,1,618,455,301,206,258,2,1,2,1,6,138,130,93,88,55,0.9804,0.9955,-0.9731,0.952,-0.9742,799,15,0.01877346683354193,7,4,2,0,2,309,255,108,90,37,"{'neg': 0.088, 'neu': 0.81, 'pos': 0.102, 'compound': 0.9985}","{'neg': 0.099, 'neu': 0.765, 'pos': 0.136, 'compound': 0.9988}","{'neg': 0.114, 'neu': 0.793, 'pos': 0.093, 'compound': -0.9963}","{'neg': 0.06, 'neu': 0.843, 'pos': 0.097, 'compound': 0.9848}","{'neg': 0.11, 'neu': 0.827, 'pos': 0.063, 'compound': -0.9983}",0.08800000000000001,0.099,0.114,0.06,0.11,0.102,0.136,0.093,0.097,0.063,0.9985,0.9988,-0.9963,0.9848,-0.9983,57,0.07133917396745933,13,10,6,12,16,32,37,11,14,7,5,14,1,0,0,73,66,21,18,9,20,101,187,0.02503128911138924,0.12640801001251564,0.23404255319148934,37.420949334884064,-0.6590438435970746,2.4,-0.4478758539874561,-0.5961305694292987,-0.1604128181938849,0.018773466833541932,0.07133917396745933,2.3003754693366707,0.6307884856070087,0.9552154090046916,0.6274541927409262,2.4,0,0.9755634330990476,0.2812680277313221,1
Fruitvale Station,7.5,Fruitvale-Station,1,507,299,297,120,139,0,1,1,1,1,125,97,104,47,53,-0.8571,-0.9277,0.9995,-0.9846,0.974,674,19,0.02818991097922848,6,6,4,0,3,371,123,117,32,31,"{'neg': 0.141, 'neu': 0.709, 'pos': 0.15, 'compound': -0.9685}","{'neg': 0.101, 'neu': 0.804, 'pos': 0.096, 'compound': -0.9277}","{'neg': 0.041, 'neu': 0.734, 'pos': 0.225, 'compound': 0.9999}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.141,0.101,0.041,0.0,0.0,0.15,0.096,0.225,0.0,0.0,-0.9685,-0.9277,0.9999,0.0,0.0,17,0.025222551928783383,3,2,12,0,0,15,11,8,4,0,7,5,3,0,0,59,29,39,3,2,15,38,132,0.02225519287833828,0.05637982195845698,0.19584569732937684,49.133231842066486,-1.43221170981079,0.8,-1.4968048933012836,1.0804042563163987,-0.9234996862268384,0.02818991097922848,0.025222551928783383,2.020771513353116,0.6320474777448071,0.9365542961302352,-0.4695295252225519,0.8,0,0.7263262093577513,0.21470347931086048,1
The Descendants,7.3,"Descendants,-The",1,976,434,307,340,213,2,1,1,1,2,171,126,99,104,85,1.0,-0.998,0.9829,0.7827,0.9785,1524,35,0.022965879265091863,22,5,4,4,0,869,268,158,147,82,"{'neg': 0.077, 'neu': 0.759, 'pos': 0.164, 'compound': 1.0}","{'neg': 0.156, 'neu': 0.728, 'pos': 0.116, 'compound': -0.9995}","{'neg': 0.108, 'neu': 0.747, 'pos': 0.144, 'compound': 0.9829}","{'neg': 0.16, 'neu': 0.683, 'pos': 0.157, 'compound': 0.7827}","{'neg': 0.061, 'neu': 0.821, 'pos': 0.118, 'compound': 0.9785}",0.077,0.156,0.108,0.16,0.061,0.16399999999999998,0.116,0.14400000000000002,0.157,0.118,1.0,-0.9995,0.9829,0.7827,0.9785,84,0.05511811023622047,49,20,4,3,8,31,2,0,1,3,25,9,8,6,3,274,81,27,57,11,51,37,450,0.03346456692913386,0.024278215223097116,0.2952755905511811,60.501372662966155,0.04590332853896025,1.4,0.668292226308027,0.7179102399389505,-0.16836163973589482,0.022965879265091863,0.05511811023622047,1.489501312335958,0.3838582677165354,0.7776843714515549,0.6247559711286089,1.4,0,0.778281230404537,0.31534569555944514,1
The Bounty Hunter,5.6,"Bounty-Hunter,-The",1,829,580,294,208,148,1,1,2,2,4,155,134,90,77,57,0.9989,0.9996,0.9642,0.9695,0.9651,1148,29,0.025261324041811847,11,11,2,2,3,594,401,78,55,20,"{'neg': 0.139, 'neu': 0.687, 'pos': 0.173, 'compound': 0.9999}","{'neg': 0.115, 'neu': 0.689, 'pos': 0.196, 'compound': 0.9999}","{'neg': 0.137, 'neu': 0.698, 'pos': 0.165, 'compound': 0.9642}","{'neg': 0.099, 'neu': 0.755, 'pos': 0.146, 'compound': 0.9959}","{'neg': 0.103, 'neu': 0.722, 'pos': 0.175, 'compound': 0.9966}",0.139,0.115,0.13699999999999998,0.099,0.103,0.173,0.196,0.165,0.146,0.175,0.9999,0.9999,0.9642,0.9959,0.9966,47,0.04094076655052265,15,22,1,7,2,61,55,4,5,4,20,23,1,2,2,146,123,24,14,8,48,129,315,0.041811846689895474,0.11236933797909407,0.27439024390243905,50.62564734204854,-0.300073048569278,2.0,-0.326845580220476,0.24213684344355,-0.4624680367902623,0.025261324041811847,0.04094076655052265,1.793554006968641,0.4468641114982578,0.016259225073785064,0.9947894599303136,2.0,1,0.013649761902685364,0.2470682124530259,1
Casino,8.2,Casino,1,1381,1156,506,219,220,2,2,0,0,2,179,157,125,80,75,0.9999,-0.9998,-0.9722,0.9875,-0.9828,3047,119,0.0390548080078766,63,35,12,4,5,1317,989,562,117,62,"{'neg': 0.102, 'neu': 0.77, 'pos': 0.128, 'compound': 1.0}","{'neg': 0.133, 'neu': 0.759, 'pos': 0.108, 'compound': -1.0}","{'neg': 0.148, 'neu': 0.69, 'pos': 0.162, 'compound': -0.9984}","{'neg': 0.078, 'neu': 0.779, 'pos': 0.143, 'compound': 0.9975}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.102,0.133,0.14800000000000002,0.078,0.0,0.128,0.108,0.162,0.14300000000000002,0.0,1.0,-1.0,-0.9984,0.9975,0.0,156,0.05119789957335084,89,51,11,5,0,250,128,48,11,14,26,34,13,2,2,314,237,95,13,12,77,451,671,0.02527075812274368,0.14801444043321302,0.2202166064981949,47.615996348506926,2.0048118299123656,1.2,1.0582786640016295,9.599013641186428,5.093758221074679,0.0390548080078766,0.05119789957335084,1.1427633738103051,0.20216606498194944,0.969376338477477,-0.053727075812274316,1.2,0,0.8935109006609825,0.1628307671075596,1
The Sting,8.3,"Sting,-The",1,520,527,362,279,134,2,2,1,2,5,125,114,100,81,29,-0.9558,-0.9956,0.9928,0.9657,-0.3365,714,15,0.02100840336134454,4,4,6,1,0,273,192,136,82,31,"{'neg': 0.096, 'neu': 0.806, 'pos': 0.098, 'compound': -0.9942}","{'neg': 0.122, 'neu': 0.792, 'pos': 0.086, 'compound': -0.9989}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.053, 'neu': 0.858, 'pos': 0.09, 'compound': 0.9905}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.096,0.122,0.0,0.053,0.0,0.098,0.086,0.0,0.09,0.0,-0.9942,-0.9989,0.0,0.9905,0.0,22,0.030812324929971987,9,9,0,4,0,11,5,1,0,1,12,9,2,1,0,65,67,32,20,2,24,18,186,0.03361344537815126,0.025210084033613446,0.2605042016806723,33.77939691242245,-0.6850326794361911,2.4,-1.1875053047856678,-0.4148835612405747,-0.7009326830505602,0.02100840336134454,0.030812324929971987,2.5518207282913163,0.6288515406162465,0.8848200617074639,-0.3477757703081233,2.4,0,0.7438123080455176,0.29381452588698465,1
Save the Last Dance,6.2,Save-the-Last-Dance,1,564,610,385,375,294,1,1,1,1,1,138,141,105,107,99,0.9962,0.9994,0.9894,0.9975,-0.9742,1343,37,0.027550260610573345,17,7,6,4,3,477,373,198,173,122,"{'neg': 0.123, 'neu': 0.719, 'pos': 0.158, 'compound': 0.9998}","{'neg': 0.094, 'neu': 0.75, 'pos': 0.155, 'compound': 0.9999}","{'neg': 0.109, 'neu': 0.75, 'pos': 0.141, 'compound': 0.9987}","{'neg': 0.091, 'neu': 0.737, 'pos': 0.172, 'compound': 0.9994}","{'neg': 0.127, 'neu': 0.758, 'pos': 0.115, 'compound': -0.9742}",0.123,0.094,0.109,0.091,0.127,0.158,0.155,0.141,0.172,0.115,0.9998,0.9999,0.9987,0.9994,-0.9742,96,0.07148175725986597,26,33,22,12,3,30,11,5,5,5,13,14,5,3,6,116,82,42,45,23,41,56,308,0.030528667163067763,0.04169769173492182,0.22933730454207,32.755096552095104,-0.02556597001861009,1.0,0.7086356508970203,1.1710277604107606,-0.11271988894182533,0.027550260610573345,0.07148175725986597,1.6589724497393894,0.4393149664929263,0.7879372147576227,0.8172597915115413,1.0,0,0.7894601127352794,0.3482548149865908,1
The Manchurian Candidate,6.6,"Manchurian-Candidate,-The",1,729,518,652,335,315,3,3,7,2,7,136,128,118,97,86,0.9986,0.9964,0.3732,0.98,-0.2261,841,36,0.04280618311533888,13,7,8,3,5,337,229,129,105,41,"{'neg': 0.114, 'neu': 0.731, 'pos': 0.154, 'compound': 0.9998}","{'neg': 0.151, 'neu': 0.71, 'pos': 0.139, 'compound': -0.9522}","{'neg': 0.126, 'neu': 0.742, 'pos': 0.131, 'compound': 0.4889}","{'neg': 0.095, 'neu': 0.777, 'pos': 0.128, 'compound': 0.9946}","{'neg': 0.115, 'neu': 0.784, 'pos': 0.101, 'compound': -0.3975}",0.114,0.151,0.126,0.095,0.115,0.154,0.139,0.131,0.128,0.101,0.9998,-0.9522,0.4889,0.9946,-0.3975,43,0.05112960760998811,15,3,17,3,5,28,27,9,8,2,12,9,10,6,3,72,51,67,18,22,40,74,230,0.04756242568370987,0.08799048751486327,0.2734839476813318,34.457202505219215,0.4958350490036645,4.4,0.3724404459887423,-0.32426005714621264,-0.4783656798742821,0.04280618311533888,0.05112960760998811,3.030915576694412,0.6718192627824019,0.4881214373493547,0.8400434007134364,4.4,0,0.7791705471846327,0.22926928206168104,1
Hollow Man,5.7,Hollow-Man,1,621,490,568,327,276,2,2,2,2,1,130,123,133,106,95,-0.9938,-0.5568,0.9982,0.9823,-0.9962,1295,36,0.0277992277992278,14,5,9,4,4,456,275,279,152,133,"{'neg': 0.113, 'neu': 0.783, 'pos': 0.104, 'compound': -0.9992}","{'neg': 0.116, 'neu': 0.755, 'pos': 0.129, 'compound': -0.5062}","{'neg': 0.102, 'neu': 0.749, 'pos': 0.149, 'compound': 0.9998}","{'neg': 0.131, 'neu': 0.713, 'pos': 0.155, 'compound': 0.995}","{'neg': 0.186, 'neu': 0.717, 'pos': 0.097, 'compound': -0.9991}",0.113,0.116,0.102,0.131,0.18600000000000005,0.104,0.129,0.149,0.155,0.097,-0.9992,-0.5062,0.9998,0.995,-0.9991,70,0.054054054054054064,46,11,6,4,3,29,29,37,27,13,10,4,12,5,4,94,60,88,46,26,35,135,314,0.027027027027027032,0.10424710424710423,0.2424710424710425,32.34259004674182,0.06214635093840806,1.8,0.668292226308027,0.08354571127841644,-0.4227239290802126,0.0277992277992278,0.054054054054054064,1.7621621621621617,0.4532818532818533,0.915123654158278,-0.2401389961389961,1.8,0,0.9154786848419793,0.3013990847425759,1
Surrogates,6.3,Surrogates,1,1188,660,318,353,263,3,4,2,4,4,165,125,94,98,79,-0.9989,-0.9927,0.993,-0.9953,-0.8792,974,37,0.03798767967145791,18,6,2,6,5,541,211,86,75,61,"{'neg': 0.11, 'neu': 0.801, 'pos': 0.089, 'compound': -0.9999}","{'neg': 0.08, 'neu': 0.861, 'pos': 0.059, 'compound': -0.9995}","{'neg': 0.111, 'neu': 0.725, 'pos': 0.164, 'compound': 0.993}","{'neg': 0.153, 'neu': 0.767, 'pos': 0.081, 'compound': -0.9988}","{'neg': 0.076, 'neu': 0.871, 'pos': 0.053, 'compound': -0.9603}",0.11,0.08,0.111,0.153,0.076,0.08900000000000001,0.059,0.16399999999999998,0.081,0.053,-0.9999,-0.9995,0.993,-0.9988,-0.9603,134,0.1375770020533881,62,37,9,18,8,30,14,5,4,7,13,12,5,1,0,141,56,18,12,15,31,60,242,0.031827515400410684,0.061601642710472276,0.24845995893223816,54.27654427438864,0.8742974709107983,3.4,0.3186492132034178,-0.5961305694292987,0.6106228713810784,0.03798767967145791,0.1375770020533881,2.8562628336755647,0.5759753593429158,0.7851085922342208,-0.8139068788501027,3.4,0,0.793194646981433,0.2640298769775371,1
Edward Scissorhands,7.9,Edward-Scissorhands,1,495,212,255,284,268,1,0,0,2,2,129,91,94,90,87,0.9998,-0.9915,-0.9863,0.9967,0.9949,800,15,0.01875,4,2,2,4,3,339,129,108,122,102,"{'neg': 0.072, 'neu': 0.743, 'pos': 0.185, 'compound': 1.0}","{'neg': 0.171, 'neu': 0.707, 'pos': 0.123, 'compound': -0.9977}","{'neg': 0.116, 'neu': 0.797, 'pos': 0.088, 'compound': -0.9962}","{'neg': 0.064, 'neu': 0.778, 'pos': 0.158, 'compound': 0.9967}","{'neg': 0.086, 'neu': 0.759, 'pos': 0.156, 'compound': 0.9949}",0.07200000000000001,0.171,0.116,0.064,0.086,0.185,0.123,0.08800000000000001,0.158,0.156,1.0,-0.9977,-0.9962,0.9967,0.9949,34,0.0425,19,9,4,1,1,16,0,2,1,1,17,7,1,3,5,91,31,16,20,31,33,20,189,0.04125,0.025,0.23625,45.458536371219104,-1.1853177693391834,1.0,-0.6226973605397607,-0.6187864454528892,-0.4227239290802126,0.01875,0.0425,1.8925,0.61375,0.9729563081659938,0.4094818750000001,1.0,0,0.9769314788663532,0.2762069637178062,1
Frankenstein,7.9,Frankenstein,1,617,369,314,353,264,2,2,2,2,4,143,114,110,117,85,0.9654,0.9784,0.9994,-0.7157,0.9894,795,28,0.03522012578616352,13,3,5,7,0,333,156,121,124,61,"{'neg': 0.149, 'neu': 0.686, 'pos': 0.164, 'compound': 0.9971}","{'neg': 0.122, 'neu': 0.724, 'pos': 0.153, 'compound': 0.9938}","{'neg': 0.056, 'neu': 0.718, 'pos': 0.226, 'compound': 0.9998}","{'neg': 0.113, 'neu': 0.781, 'pos': 0.106, 'compound': -0.9599}","{'neg': 0.099, 'neu': 0.706, 'pos': 0.194, 'compound': 0.9894}",0.149,0.122,0.056,0.113,0.099,0.16399999999999998,0.153,0.226,0.106,0.194,0.9971,0.9938,0.9998,-0.9599,0.9894,42,0.052830188679245285,20,2,10,6,4,38,61,9,7,8,5,6,6,1,0,67,26,32,35,15,18,123,175,0.022641509433962263,0.15471698113207547,0.220125786163522,38.87733887733888,-0.5307239666414368,2.4,0.4262316787740668,-0.6414423214764797,-0.6134956460884511,0.03522012578616352,0.052830188679245285,2.4113207547169813,0.7157232704402515,0.6796342851857903,0.7127579874213836,2.4,0,0.7819777045415043,0.2038790976585788,1
Legally Blonde,6.3,Legally-Blonde,1,948,270,250,226,175,3,2,3,3,3,170,90,93,81,59,0.9999,0.9914,0.7242,0.9569,0.5733,795,29,0.03647798742138365,21,3,2,2,1,528,87,78,62,40,"{'neg': 0.081, 'neu': 0.734, 'pos': 0.185, 'compound': 1.0}","{'neg': 0.092, 'neu': 0.75, 'pos': 0.159, 'compound': 0.9914}","{'neg': 0.127, 'neu': 0.737, 'pos': 0.137, 'compound': 0.7242}","{'neg': 0.091, 'neu': 0.796, 'pos': 0.114, 'compound': 0.9569}","{'neg': 0.079, 'neu': 0.807, 'pos': 0.113, 'compound': 0.5733}",0.081,0.092,0.127,0.091,0.079,0.185,0.159,0.13699999999999998,0.114,0.113,1.0,0.9914,0.7242,0.9569,0.5733,46,0.05786163522012579,26,3,5,10,2,10,1,0,1,0,19,5,6,3,4,159,36,12,15,16,37,12,238,0.04654088050314465,0.01509433962264151,0.2993710691823899,66.50668845093432,-0.6103147763987311,2.8,-0.5958017441470984,-0.2789483050990316,-0.4783656798742821,0.03647798742138365,0.05786163522012579,2.3509433962264152,0.620125786163522,0.1710417563052952,0.9471023899371068,2.8,1,0.17105938851755548,0.19925419924917634,1
